np,omp_threads,mode,grid,iters,repeat,runtime_s
4,1,encrypt,512,500,1,0.196537
4,1,decrypt,512,500,1,0.193320
4,1,encrypt,512,1000,1,0.357021
4,1,decrypt,512,1000,1,0.352499
4,1,encrypt,512,2000,1,0.674645
4,1,decrypt,512,2000,1,0.664397
4,1,encrypt,1024,500,1,0.689714
4,1,decrypt,1024,500,1,0.680332
4,1,encrypt,1024,1000,1,1.338011
4,1,decrypt,1024,1000,1,1.334276
4,1,encrypt,1024,2000,1,2.654273
4,1,decrypt,1024,2000,1,2.639005
4,2,encrypt,64,500,1,0.033312
4,2,decrypt,64,500,1,0.027931
4,2,encrypt,64,1000,1,0.043486
4,2,decrypt,64,1000,1,0.042291
4,2,encrypt,64,2000,1,0.080256
4,2,decrypt,64,2000,1,0.080169
4,2,encrypt,128,500,1,0.032598
4,2,decrypt,128,500,1,0.030799
4,2,encrypt,128,1000,1,0.050662
4,2,decrypt,128,1000,1,0.047884
4,2,encrypt,128,2000,1,0.091395
4,2,decrypt,128,2000,1,0.091920
4,2,encrypt,256,500,1,0.050070
4,2,decrypt,256,500,1,0.042247
4,2,encrypt,256,1000,1,0.085260
4,2,decrypt,256,1000,1,0.079132
4,2,encrypt,256,2000,1,0.152202
4,2,decrypt,256,2000,1,0.143449
4,2,encrypt,512,500,1,0.137945
4,2,decrypt,512,500,1,0.144367
4,2,encrypt,512,1000,1,0.249020
4,2,decrypt,512,1000,1,0.250526
4,2,encrypt,512,2000,1,0.448734
4,2,decrypt,512,2000,1,0.440628
4,2,encrypt,1024,500,1,0.382289
4,2,decrypt,1024,500,1,0.387939
4,2,encrypt,1024,1000,1,0.742263
4,2,decrypt,1024,1000,1,0.744521
4,2,encrypt,1024,2000,1,1.453675
4,2,decrypt,1024,2000,1,1.430837
4,4,encrypt,64,500,1,0.040720
4,4,decrypt,64,500,1,0.041391
4,4,encrypt,64,1000,1,0.073968
4,4,decrypt,64,1000,1,0.074102
4,4,encrypt,64,2000,1,0.137970
4,4,decrypt,64,2000,1,0.139715
4,4,encrypt,128,500,1,0.041388
4,4,decrypt,128,500,1,0.042068
4,4,encrypt,128,1000,1,0.077543
4,4,decrypt,128,1000,1,0.074449
4,4,encrypt,128,2000,1,0.142816
4,4,decrypt,128,2000,1,0.141286
4,4,encrypt,256,500,1,0.051484
4,4,decrypt,256,500,1,0.052419
4,4,encrypt,256,1000,1,0.097756
4,4,decrypt,256,1000,1,0.089646
4,4,encrypt,256,2000,1,0.172526
4,4,decrypt,256,2000,1,0.175211
